psu_hh_idcode,hhid,q02,q03,q05,q09,q23
4_4_2,404,1,4,27,0,1
4_6_1,406,2,1,90,0,0
4_7_1,407,1,1,75,0,0
4_7_2,407,2,2,73,0,0
4_8_1,408,2,1,60,0,0
4_9_1,409,2,1,79,0,0
4_10_1,410,1,1,63,0,0
4_10_2,410,2,2,51,0,0
5_1_1,501,1,1,76,0,0
5_1_2,501,2,2,60,0,0
5_1_3,501,1,4,42,0,2
5_3_1,503,2,1,82,0,0
5_4_2,504,2,2,37,0,0
5_4_3,504,2,4,16,0,2
5_5_1,505,1,1,64,0,0
5_5_2,505,2,2,62,0,0
5_5_3,505,1,4,24,0,2
5_6_1,506,1,1,53,0,0
5_6_2,506,2,2,47,0,0
5_6_3,506,1,4,26,0,2
5_6_4,506,2,4,11,0,2
5_7_1,507,1,1,52,0,0
5_7_2,507,2,2,47,0,0
5_7_3,507,2,4,21,0,2
5_8_1,508,1,1,55,0,0
5_9_1,509,2,1,60,0,0
5_9_2,509,2,4,38,0,1
5_9_3,509,1,6,6,0,1
6_2_1,602,1,1,64,0,0
6_2_2,602,2,2,58,0,0
6_3_1,603,1,1,61,0,0
6_3_2,603,2,2,54,0,0
6_3_3,603,1,4,22,0,2
6_3_4,603,1,4,33,0,2
6_3_5,603,2,9,20,0,0
6_4_1,604,1,1,36,0,0
6_4_2,604,2,2,32,0,0
6_4_3,604,1,4,4,0,2
6_4_4,604,1,4,2,0,2
6_5_1,605,1,1,44,0,0
6_5_2,605,2,2,41,0,0
6_5_3,605,1,4,19,0,2
6_5_4,605,1,4,16,0,2
6_7_1,607,2,1,80,0,0
6_8_1,608,1,1,77,0,0
6_8_2,608,2,2,68,2,0
6_9_1,609,2,1,71,0,0
6_10_1,610,1,1,41,0,0
6_10_2,610,2,2,36,0,0
6_10_3,610,2,4,17,0,2
7_2_1,702,1,1,36,0,0
7_2_2,702,2,2,36,0,0
7_2_3,702,2,4,10,0,2
7_2_4,702,1,4,3,0,2
7_3_1,703,1,1,55,0,0
7_3_2,703,2,2,49,0,0
7_4_1,704,1,1,42,0,0
7_4_2,704,2,2,36,0,0
7_4_3,704,1,4,13,0,2
7_4_4,704,2,4,5,0,2
7_5_1,705,1,1,38,0,0
7_5_2,705,2,2,28,0,0
7_5_3,705,1,4,7,0,2
7_5_4,705,2,4,1,0,2
7_6_1,706,2,1,76,0,0
7_7_1,707,1,1,48,0,0
7_7_2,707,2,2,47,0,0
7_7_3,707,2,4,19,1,2
7_7_4,707,1,4,14,0,2
7_7_5,707,1,4,24,3,2
7_8_1,708,1,1,48,0,2
7_8_3,708,2,4,17,0,2
7_8_4,708,1,4,14,0,2
7_8_5,708,1,7,75,0,0
7_8_6,708,2,7,68,0,0
7_9_1,709,1,1,47,0,0
7_9_3,709,1,4,20,0,2
7_9_4,709,2,4,14,0,2
8_1_1,801,1,1,51,0,0
8_1_2,801,2,2,45,0,0
8_1_3,801,1,4,21,0,2
8_1_4,801,1,4,18,0,2
8_1_5,801,1,4,16,0,2
8_2_1,802,1,1,46,0,0
8_2_2,802,2,2,40,0,0
8_2_3,802,2,4,17,0,2
8_3_1,803,2,1,51,0,0
8_5_1,805,1,1,44,0,0
8_5_2,805,2,2,41,0,0
8_5_3,805,1,4,16,0,2
8_5_4,805,2,4,7,0,2
8_6_1,806,1,1,66,0,0
8_6_2,806,2,2,64,0,0
8_6_3,806,1,4,41,0,2
8_6_4,806,2,9,36,0,0
8_6_5,806,2,6,10,0,2
8_6_6,806,2,6,8,0,2
8_7_1,807,1,1,70,0,0
8_7_2,807,2,2,61,0,0
8_8_1,808,1,1,57,0,0
8_8_2,808,2,2,49,0,0
8_8_3,808,1,4,23,0,2
8_8_4,808,2,4,14,0,2
8_9_1,809,1,1,45,0,0
8_9_2,809,2,2,40,0,0
8_9_3,809,2,4,17,0,2
8_9_4,809,1,4,12,0,2
9_1_2,901,2,2,54,0,0
9_1_3,901,2,9,27,0,0
9_1_4,901,2,5,6,0,1
9_1_5,901,2,5,2,0,1
9_2_1,902,1,1,47,0,0
9_2_2,902,2,2,45,0,0
9_2_3,902,1,4,25,0,2
9_2_4,902,1,4,20,0,2
9_3_2,903,1,4,13,0,1
9_3_3,903,1,4,10,0,1
9_4_1,904,1,1,67,0,0
9_4_2,904,2,2,67,0,0
9_5_1,905,1,1,43,6,0
9_6_1,906,1,1,60,0,0
9_6_2,906,1,4,32,0,1
9_6_3,906,2,9,23,0,0
9_6_4,906,1,6,2,0,2
9_6_5,906,2,4,45,0,1
9_7_1,907,1,1,53,0,2
9_7_2,907,2,2,49,0,0
9_7_3,907,1,7,80,0,0
9_7_4,907,2,7,73,0,0
9_7_5,907,1,4,22,0,2
9_8_1,908,1,1,64,0,0
9_8_2,908,2,2,62,0,0
9_8_3,908,1,4,34,7,2
9_8_4,908,2,9,26,7,0
9_8_5,908,2,6,6,7,2
9_8_6,908,1,6,2,7,2
10_1_1,1001,1,1,56,0,0
10_2_1,1002,1,1,49,1,0
10_2_2,1002,2,2,48,1,0
10_2_3,1002,2,4,20,0,2
10_2_4,1002,1,4,17,0,2
10_3_1,1003,1,1,77,0,0
10_4_1,1004,1,1,63,0,0
10_5_1,1005,1,1,54,0,0
10_5_2,1005,2,2,52,0,0
10_5_3,1005,1,4,25,0,2
10_6_1,1006,1,1,42,0,0
10_6_3,1006,1,4,13,0,2
10_6_4,1006,2,4,11,0,2
10_7_1,1007,1,1,50,0,0
10_7_2,1007,2,2,45,0,0
10_7_3,1007,1,4,24,0,2
10_8_1,1008,1,1,53,0,0
10_8_2,1008,2,2,56,0,0
11_1_1,1101,1,1,47,0,0
11_1_2,1101,2,2,45,0,0
11_1_3,1101,2,4,20,0,2
11_1_4,1101,1,4,17,0,2
11_2_1,1102,1,1,69,0,0
11_2_2,1102,2,2,63,0,0
11_3_1,1103,1,1,65,0,0
11_3_2,1103,2,2,59,0,0
11_3_3,1103,1,4,36,0,2
11_3_4,1103,1,4,28,0,2
11_4_1,1104,1,1,65,11,0
11_4_2,1104,2,2,63,11,0
11_5_1,1105,1,1,46,0,0
11_5_2,1105,2,2,37,0,0
11_5_3,1105,1,4,17,0,2
11_6_1,1106,1,1,60,0,0
11_6_2,1106,2,2,58,0,0
11_6_3,1106,1,4,22,9,2
11_7_1,1107,1,1,39,0,2
11_7_2,1107,2,2,33,0,0
11_7_3,1107,1,4,10,0,2
11_7_4,1107,1,4,4,0,2
11_7_5,1107,1,7,84,0,0
11_7_6,1107,2,7,75,0,0
11_8_1,1108,1,1,55,0,0
11_8_2,1108,1,4,25,0,1
11_8_3,1108,2,4,19,0,1
12_1_1,1201,2,1,58,0,0
12_1_2,1201,1,4,25,0,1
12_1_3,1201,2,4,28,0,1
12_2_1,1202,1,1,72,0,0
12_2_2,1202,2,2,64,0,0
12_3_1,1203,1,1,30,0,0
12_3_2,1203,2,2,26,0,0
12_4_1,1204,1,1,50,0,1
12_4_2,1204,2,2,49,0,0
12_4_3,1204,1,4,27,0,2
12_4_4,1204,2,9,20,0,0
12_4_5,1204,2,6,1,0,2
12_4_6,1204,2,7,82,0,0
12_5_1,1205,1,1,70,0,0
12_5_2,1205,2,2,67,0,0
12_5_3,1205,2,9,38,0,0
12_5_4,1205,2,4,37,0,2
12_5_5,1205,1,6,19,0,1
12_5_6,1205,2,6,13,0,1
12_6_1,1206,1,1,49,0,1
12_6_2,1206,1,7,78,0,0
12_6_3,1206,2,4,14,0,1
12_6_4,1206,2,4,14,0,1
12_7_2,1207,1,4,33,0,1
12_7_3,1207,1,4,30,0,1
12_7_4,1207,2,9,24,0,0
12_8_1,1208,1,1,60,0,0
12_8_2,1208,2,2,57,0,0
12_8_3,1208,2,4,39,0,2
12_8_4,1208,1,4,34,0,2
12_8_5,1208,1,4,25,0,2
12_8_6,1208,2,9,20,0,0
12_8_7,1208,2,6,1,0,2
12_8_8,1208,2,6,1,0,2
13_1_1,1301,1,1,51,0,0
13_1_2,1301,2,2,49,0,0
13_1_3,1301,1,4,22,11,2
13_1_4,1301,2,4,15,0,2
13_2_1,1302,1,1,56,0,0
13_2_2,1302,2,2,55,0,0
13_2_3,1302,1,4,29,10,2
13_3_1,1303,1,1,61,0,0
13_3_3,1303,1,4,35,0,2
13_4_1,1304,1,1,50,0,0
13_4_2,1304,2,2,45,0,0
13_4_3,1304,1,4,19,0,2
13_6_1,1306,2,1,42,0,0
13_6_2,1306,1,4,16,0,1
13_6_3,1306,1,4,13,0,1
13_7_1,1307,1,1,54,0,0
13_7_2,1307,2,2,55,0,0
13_8_1,1308,1,1,50,0,0
13_8_2,1308,2,2,40,0,0
13_8_3,1308,2,4,20,0,2
13_8_4,1308,2,4,13,0,2
13_9_1,1309,1,1,65,0,0
13_9_2,1309,2,2,62,0,0
14_1_1,1401,1,1,82,0,0
14_1_2,1401,2,2,72,0,0
14_2_1,1402,1,1,50,0,0
14_2_2,1402,2,2,49,0,0
14_4_1,1404,1,1,55,0,1
14_4_2,1404,2,7,88,0,0
14_4_3,1404,2,2,49,0,0
14_4_4,1404,2,4,17,0,2
14_4_5,1404,2,4,14,0,2
14_5_1,1405,1,1,50,0,0
14_5_2,1405,2,2,44,0,0
14_5_3,1405,1,4,21,0,2
14_5_4,1405,1,4,16,0,2
14_6_1,1406,1,1,72,0,0
14_6_2,1406,2,2,70,0,0
14_6_3,1406,1,4,36,0,2
14_6_4,1406,2,9,31,0,0
14_6_5,1406,2,6,7,0,2
14_6_6,1406,1,6,3,0,2
14_7_1,1407,1,1,74,0,0
14_7_2,1407,2,2,65,0,0
14_8_1,1408,1,1,40,0,0
14_8_2,1408,2,2,35,0,0
14_8_3,1408,2,4,14,0,2
14_8_4,1408,1,4,12,0,2
14_9_1,1409,1,1,36,0,0
14_9_2,1409,2,2,35,0,0
14_9_3,1409,1,4,6,0,2
14_9_4,1409,2,4,1,0,2
15_2_1,1502,2,1,62,0,0
15_2_2,1502,1,4,38,0,1
15_2_3,1502,1,4,31,0,1
15_3_1,1503,1,1,58,0,0
15_3_2,1503,2,2,47,0,0
15_3_3,1503,2,4,17,0,2
15_3_4,1503,2,4,23,9,2
15_4_2,1504,2,2,72,0,0
15_4_3,1504,1,4,46,0,2
15_4_4,1504,2,9,39,0,0
15_4_5,1504,1,6,13,0,2
15_7_1,1507,1,1,64,0,0
15_7_2,1507,2,2,59,0,0
15_7_3,1507,1,4,31,7,2
15_7_4,1507,2,9,22,0,0
15_7_5,1507,1,4,26,0,2
15_7_6,1507,1,6,1,0,2
15_9_1,1509,1,1,55,0,0
15_9_3,1509,1,4,26,0,2
15_9_4,1509,1,4,22,0,2
15_10_1,1510,1,1,68,0,0
15_10_2,1510,2,2,62,0,0
15_10_3,1510,1,4,39,3,2
15_10_4,1510,2,9,30,0,0
15_10_5,1510,2,6,8,0,2
15_10_6,1510,1,6,5,0,2
15_11_1,1511,2,1,80,0,0
15_11_3,1511,2,9,38,0,0
15_11_4,1511,2,6,16,0,2
15_11_5,1511,2,6,13,0,2
16_1_1,1601,2,1,76,0,0
16_2_1,1602,1,1,52,0,0
16_2_2,1602,2,2,46,0,0
16_2_3,1602,2,4,21,9,2
16_2_4,1602,1,4,19,0,2
16_2_5,1602,2,4,10,0,2
16_3_1,1603,1,1,72,0,0
16_3_2,1603,2,2,72,0,0
16_3_3,1603,1,4,42,3,2
16_3_4,1603,2,9,32,0,0
16_3_5,1603,2,6,5,0,2
16_3_6,1603,2,6,3,0,2
16_4_1,1604,1,1,61,0,0
16_4_2,1604,2,2,61,0,0
16_4_3,1604,1,4,26,9,2
16_5_1,1605,1,1,48,0,1
16_5_2,1605,2,7,77,0,0
16_7_2,1607,2,2,57,0,0
16_7_3,1607,1,4,31,0,2
16_7_4,1607,2,4,27,0,2
16_9_2,1609,2,2,68,0,0
17_1_1,1701,1,1,33,0,0
17_1_2,1701,2,4,8,0,1
17_2_1,1702,1,1,60,0,0
17_2_2,1702,2,2,55,0,0
17_2_3,1702,1,4,27,0,2
17_3_2,1703,2,2,64,0,0
17_3_3,1703,1,4,44,0,2
17_3_4,1703,2,9,44,0,0
17_3_5,1703,2,6,18,0,2
17_3_6,1703,2,6,11,0,2
17_4_1,1704,1,1,28,0,0
17_4_2,1704,2,2,26,0,0
17_4_3,1704,2,4,2,0,2
17_5_1,1705,1,1,74,0,0
17_5_2,1705,2,2,59,1,0
17_6_2,1706,2,2,25,1,0
17_6_3,1706,1,4,1,0,2
17_7_1,1707,1,1,55,0,1
17_7_2,1707,2,2,50,0,0
17_7_3,1707,1,4,27,0,2
17_7_4,1707,1,4,24,0,2
17_7_5,1707,2,7,90,0,0
17_8_1,1708,1,1,44,0,1
17_8_2,1708,2,2,41,0,0
17_8_3,1708,1,4,5,0,2
17_8_4,1708,1,4,2,0,2
17_8_5,1708,2,7,81,0,0
18_1_1,1801,1,1,57,0,0
18_1_2,1801,2,2,25,0,0
18_1_3,1801,1,4,31,0,1
18_1_4,1801,2,4,1,0,2
18_2_2,1802,2,2,43,0,0
18_2_3,1802,2,4,19,0,2
18_2_4,1802,2,4,17,0,2
18_3_1,1803,1,1,62,0,0
18_3_2,1803,2,2,54,0,0
18_3_3,1803,1,4,31,0,2
18_3_4,1803,1,4,26,0,2
18_4_1,1804,1,1,47,3,0
18_4_2,1804,2,2,45,0,2
18_4_3,1804,1,4,22,0,2
18_4_4,1804,2,4,20,0,2
18_4_5,1804,2,4,19,0,2
18_5_1,1805,2,1,89,0,0
18_5_2,1805,1,4,48,0,1
18_5_3,1805,2,9,45,0,0
18_5_4,1805,1,6,17,5,2
18_6_1,1806,2,1,65,0,0
18_6_2,1806,1,4,43,0,1
18_7_1,1807,1,1,62,0,2
18_7_2,1807,2,2,59,0,0
18_7_3,1807,1,4,36,0,2
18_7_4,1807,2,9,28,0,0
18_7_5,1807,1,6,8,0,2
18_7_6,1807,2,6,5,0,2
18_7_7,1807,2,6,2,0,2
18_7_8,1807,1,7,87,0,0
18_7_9,1807,2,7,32,0,0
18_8_2,1808,2,2,27,2,2
18_8_3,1808,1,4,8,0,2
18_8_4,1808,1,4,6,0,2
18_8_5,1808,1,7,71,0,0
18_8_6,1808,2,7,61,0,0
19_1_1,1901,1,1,54,0,0
19_1_2,1901,2,2,53,0,0
19_1_3,1901,2,4,23,9,2
19_1_4,1901,1,4,18,3,2
19_2_1,1902,1,1,54,0,0
19_2_2,1902,2,2,53,0,0
19_2_3,1902,2,4,27,9,2
19_2_4,1902,2,4,21,9,2
19_2_5,1902,2,4,16,0,2
19_3_2,1903,2,4,11,0,1
19_3_3,1903,1,4,8,0,2
19_3_4,1903,2,12,76,0,0
19_4_1,1904,1,1,61,0,0
19_4_2,1904,2,2,57,0,0
19_4_3,1904,1,4,32,0,2
19_4_4,1904,2,9,28,0,1
19_4_5,1904,2,6,7,0,2
19_4_6,1904,1,6,6,0,2
19_4_7,1904,1,4,26,0,2
19_4_8,1904,2,9,21,0,0
19_4_9,1904,1,6,1,0,2
19_5_1,1905,1,1,79,0,0
19_5_2,1905,2,2,67,0,1
19_5_3,1905,1,4,37,0,2
19_5_4,1905,2,9,32,0,0
19_5_5,1905,1,6,14,0,2
19_5_6,1905,1,6,8,0,2
19_6_1,1906,1,1,74,1,0
19_6_2,1906,1,4,32,3,1
19_6_3,1906,2,9,26,0,0
19_6_4,1906,1,6,2,0,2
19_7_2,1907,2,1,44,0,0
19_7_3,1907,1,4,17,0,2
19_9_1,1909,1,1,63,0,0
19_9_2,1909,2,2,58,0,0
19_9_3,1909,2,9,25,6,0
19_9_4,1909,2,6,5,0,1
19_9_5,1909,2,6,0,0,1
20_1_1,2001,1,1,77,0,0
20_1_2,2001,2,2,63,0,0
20_2_1,2002,1,1,52,0,0
20_2_2,2002,2,2,50,0,0
20_2_3,2002,1,4,21,0,2
20_2_4,2002,1,4,16,0,2
20_3_2,2003,2,2,64,0,0
20_3_3,2003,1,4,25,0,2
20_4_1,2004,1,1,58,0,1
20_4_2,2004,2,2,52,0,0
20_4_3,2004,2,7,85,0,0
20_6_1,2006,1,1,58,0,0
20_6_2,2006,2,2,55,0,0
20_6_3,2006,1,4,27,0,2
20_6_4,2006,2,9,27,0,0
20_6_5,2006,2,6,4,0,2
20_6_6,2006,1,6,11,0,2
20_7_1,2007,1,1,79,0,0
20_7_2,2007,2,2,78,0,0
20_7_3,2007,1,4,34,0,2
20_7_4,2007,2,9,30,0,0
20_7_5,2007,2,6,4,0,2
20_7_6,2007,1,6,9,0,2
20_8_1,2008,1,1,58,0,0
20_8_2,2008,2,2,55,0,0
20_8_3,2008,1,4,24,0,2
20_8_4,2008,1,4,21,0,2
20_9_1,2009,1,1,64,0,0
20_9_2,2009,2,2,55,0,0
20_9_3,2009,2,4,35,0,2
20_9_4,2009,2,5,8,0,1
20_9_5,2009,1,4,25,0,2
21_1_1,2101,1,1,64,0,0
21_1_3,2101,1,4,29,0,2
21_1_4,2101,2,9,20,0,0
21_1_5,2101,1,6,0,0,2
21_2_2,2102,2,2,47,0,0
21_2_3,2102,2,4,23,0,2
21_2_4,2102,1,4,18,0,2
21_2_5,2102,2,4,15,0,2
21_3_1,2103,1,1,30,0,0
21_3_2,2103,2,2,24,0,0
21_3_3,2103,1,4,5,0,2
21_3_4,2103,1,4,1,0,2
21_4_1,2104,1,1,61,0,0
21_4_2,2104,2,2,53,0,0
21_5_2,2105,2,2,42,0,0
21_5_3,2105,1,4,17,0,2
21_5_4,2105,2,4,13,0,2
21_6_2,2106,2,1,30,0,0
21_6_3,2106,2,4,10,0,2
21_6_4,2106,2,4,3,0,2
21_7_1,2107,1,1,45,0,0
21_7_2,2107,2,2,39,0,0
21_7_3,2107,2,4,16,0,2
21_7_4,2107,1,4,14,0,2
21_8_1,2108,1,1,46,1,0
21_8_2,2108,2,2,35,0,0
21_8_3,2108,1,4,15,0,2
21_8_4,2108,1,4,14,0,2
21_8_5,2108,1,4,9,0,2
22_1_1,2201,1,1,20,0,1
22_1_2,2201,2,2,18,0,0
22_1_3,2201,1,4,0,0,2
22_1_4,2201,1,7,45,0,1
22_1_5,2201,2,11,80,0,0
22_2_1,2202,1,1,74,0,0
22_2_2,2202,2,2,71,0,0
22_2_3,2202,2,4,33,0,2
22_2_4,2202,2,5,11,0,1
22_2_5,2202,1,5,8,0,1
22_3_1,2203,2,1,71,0,0
22_4_1,2204,1,1,44,0,0
22_4_2,2204,2,2,38,0,0
22_4_3,2204,1,4,18,0,2
22_4_4,2204,1,4,15,0,2
22_4_5,2204,1,4,10,0,2
22_5_1,2205,1,1,36,0,0
22_5_2,2205,2,2,35,0,0
22_5_3,2205,2,4,8,0,2
22_5_4,2205,2,4,4,0,2
22_5_5,2205,1,4,1,0,2
22_6_1,2206,1,1,56,0,0
22_6_2,2206,2,2,54,0,0
22_7_1,2207,2,1,53,0,0
22_7_2,2207,1,4,34,6,1
22_7_3,2207,2,9,32,6,0
22_7_4,2207,1,5,5,6,2
22_7_5,2207,1,5,3,6,2
22_7_6,2207,1,4,23,0,1
22_8_1,2208,1,1,49,0,0
22_8_2,2208,2,2,46,0,0
22_8_3,2208,1,4,21,0,2
23_1_1,2301,1,1,75,0,0
23_1_2,2301,2,2,74,0,0
23_1_3,2301,1,4,43,0,2
23_1_4,2301,2,9,42,0,0
23_1_5,2301,2,5,14,0,2
23_1_6,2301,2,5,12,0,2
23_1_7,2301,1,5,7,0,2
23_3_1,2303,1,1,62,0,1
23_3_2,2303,2,2,57,0,0
23_3_3,2303,2,7,85,0,0
23_4_1,2304,1,1,46,0,0
23_4_2,2304,2,2,45,0,0
23_4_3,2304,1,4,22,0,1
23_4_4,2304,1,4,19,0,1
23_4_5,2304,1,4,16,0,1
23_5_1,2305,1,1,41,0,0
23_5_2,2305,2,2,34,0,0
23_5_3,2305,1,4,18,0,2
23_6_1,2306,2,1,80,0,0
23_6_2,2306,2,4,35,0,1
23_6_3,2306,1,5,15,0,1
23_6_4,2306,2,5,13,0,1
23_7_1,2307,1,1,50,0,0
23_7_2,2307,2,2,39,0,0
23_7_3,2307,2,4,15,0,2
23_7_4,2307,1,4,12,0,2
23_7_5,2307,2,4,8,0,2
23_8_1,2308,1,1,50,0,0
23_8_2,2308,2,2,48,0,0
23_8_3,2308,1,4,20,0,2
23_9_1,2309,1,1,63,0,0
23_9_2,2309,2,2,63,0,0
23_9_3,2309,2,9,31,0,0
23_9_4,2309,1,5,12,0,1
23_9_5,2309,1,5,1,0,1
24_1_1,2401,1,1,51,0,0
24_1_2,2401,2,2,51,0,0
24_1_3,2401,1,4,20,8,2
24_2_1,2402,1,1,49,0,0
24_2_2,2402,2,2,48,0,0
24_2_3,2402,2,4,19,8,2
24_2_4,2402,1,4,14,0,2
24_3_1,2403,1,1,54,0,0
24_3_2,2403,2,2,49,0,0
24_3_3,2403,1,4,25,2,2
24_3_4,2403,1,4,19,0,2
24_3_5,2403,1,4,17,0,2
24_4_1,2404,1,1,52,0,0
24_4_2,2404,2,2,48,0,0
24_4_3,2404,2,4,17,0,2
24_4_4,2404,1,4,14,0,2
24_5_1,2405,1,1,82,0,0
24_5_2,2405,2,2,80,0,0
24_5_3,2405,1,4,41,0,2
24_5_4,2405,2,9,31,0,0
24_5_5,2405,1,5,9,0,2
24_5_6,2405,1,5,6,0,2
24_6_2,2406,2,2,45,0,0
24_6_3,2406,1,4,19,0,2
24_6_4,2406,2,4,16,0,2
24_7_2,2407,2,2,40,0,0
24_7_3,2407,2,4,17,0,2
24_7_4,2407,2,4,15,0,2
24_7_5,2407,1,4,11,0,2
24_8_1,2408,2,1,75,0,0
24_8_2,2408,1,4,42,0,0
24_8_3,2408,2,9,42,0,0
24_8_5,2408,1,5,16,0,2
25_1_1,2501,1,1,41,0,0
25_1_2,2501,2,2,35,0,0
25_1_3,2501,2,4,16,0,2
25_1_4,2501,1,4,14,0,2
25_2_1,2502,1,1,51,0,0
25_2_2,2502,2,2,52,0,0
25_2_3,2502,1,4,27,0,2
25_2_4,2502,1,4,19,0,2
25_3_1,2503,1,1,39,0,0
25_3_2,2503,2,2,37,0,0
25_3_3,2503,2,4,12,0,2
25_3_4,2503,1,4,6,0,2
25_4_1,2504,2,1,44,0,0
25_4_2,2504,1,4,23,0,1
25_4_3,2504,1,4,20,0,1
25_5_1,2505,1,1,29,0,0
25_5_2,2505,2,2,27,0,0
25_5_3,2505,2,4,2,0,2
25_5_4,2505,1,4,0,0,2
25_7_1,2507,1,1,35,0,1
25_7_2,2507,2,2,33,0,0
25_7_3,2507,1,4,11,0,2
25_7_4,2507,2,4,7,0,2
25_8_1,2508,1,1,44,0,0
25_8_2,2508,2,2,41,0,0
25_8_3,2508,1,4,20,0,2
25_8_4,2508,1,4,18,0,2
25_9_1,2509,1,1,47,9,0
25_9_2,2509,2,2,44,0,0
25_9_3,2509,2,4,23,0,2
25_9_4,2509,1,4,20,0,2
25_9_5,2509,1,4,15,0,2
26_1_1,2601,1,1,41,2,0
26_1_3,2601,2,4,17,0,2
26_1_4,2601,2,4,13,0,2
26_1_5,2601,2,4,9,0,2
26_1_6,2601,2,4,6,0,2
26_1_7,2601,1,4,1,0,2
26_2_2,2602,2,2,42,0,0
26_2_3,2602,1,4,22,8,2
26_2_4,2602,2,4,16,0,2
26_3_3,2603,2,4,20,8,2
26_3_4,2603,2,4,16,0,2
26_3_5,2603,2,4,11,0,2
26_4_1,2604,1,1,56,0,0
26_4_2,2604,2,2,56,0,0
26_4_3,2604,1,4,25,0,2
26_5_1,2605,1,1,48,0,0
26_5_2,2605,2,2,40,0,0
26_5_3,2605,1,4,19,0,2
26_5_4,2605,2,4,15,0,2
26_6_1,2606,1,1,54,5,0
26_6_2,2606,2,2,50,0,0
26_6_3,2606,1,4,28,3,2
26_7_2,2607,2,2,51,0,0
26_7_3,2607,2,4,30,0,1
26_7_4,2607,2,4,24,0,2
26_7_5,2607,2,4,15,0,2
26_8_1,2608,1,1,57,0,0
26_8_2,2608,2,2,54,0,0
27_1_1,2701,1,1,39,0,1
27_1_2,2701,2,2,41,0,0
27_1_3,2701,2,7,60,0,0
27_1_4,2701,1,4,17,0,2
27_1_5,2701,2,4,13,0,2
27_1_6,2701,1,4,8,0,2
27_2_1,2702,1,1,53,0,1
27_2_2,2702,2,2,47,0,0
27_2_3,2702,1,4,23,0,2
27_2_4,2702,1,4,19,0,2
27_2_5,2702,2,7,91,0,0
27_3_1,2703,1,1,81,0,0
27_3_2,2703,2,2,66,0,0
27_4_1,2704,1,1,28,0,0
27_4_2,2704,2,2,22,0,0
27_4_3,2704,2,4,2,0,2
27_5_1,2705,1,1,40,0,0
27_5_2,2705,2,2,34,0,0
27_5_3,2705,1,4,8,0,2
27_5_4,2705,2,4,5,0,2
27_6_1,2706,1,1,57,0,0
27_6_2,2706,2,2,53,0,0
27_6_3,2706,2,4,33,0,2
27_7_1,2707,1,1,37,0,0
27_7_2,2707,2,2,34,0,0
27_7_3,2707,1,4,15,0,2
27_7_4,2707,1,4,13,0,2
27_7_5,2707,1,4,6,0,2
