psu_hh_idcode,subjectivePoverty_rating,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
19_6_1,4.0,1,1,74,1,0,2,1,2.0,1.0,2.0,13.0,2.0
19_7_2,3.0,2,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
19_9_1,3.0,1,1,63,0,0,2,1,2.0,1.0,2.0,13.0,2.0
20_1_1,3.0,1,1,77,0,0,2,1,1.0,1.0,2.0,13.0,2.0
20_2_1,5.0,1,1,52,0,0,1,1,5.0,1.0,2.0,13.0,2.0
20_4_1,3.0,1,1,58,0,1,1,1,2.0,1.0,2.0,13.0,2.0
20_6_1,5.0,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
20_7_1,3.0,1,1,79,0,0,2,1,0.0,1.0,2.0,13.0,2.0
20_8_1,3.0,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
20_9_1,3.0,1,1,64,0,0,1,1,2.0,0.0,2.0,13.0,2.0
21_3_1,3.0,1,1,30,0,0,1,1,2.0,0.0,2.0,13.0,2.0
21_4_1,3.0,1,1,61,0,0,2,1,2.0,1.0,2.0,13.0,2.0
21_6_2,3.0,2,1,30,0,0,1,1,2.0,1.0,2.0,13.0,2.0
21_7_1,3.0,1,1,45,0,0,1,1,3.0,1.0,2.0,13.0,2.0
21_8_1,1.0,1,1,46,1,0,1,1,2.0,1.0,2.0,13.0,2.0
22_1_1,2.0,1,1,20,0,1,1,1,2.0,1.0,2.0,13.0,2.0
22_2_1,1.0,1,1,74,0,0,2,1,1.0,1.0,2.0,13.0,2.0
22_3_1,1.0,2,1,71,0,0,2,1,1.0,1.0,2.0,13.0,2.0
22_4_1,3.0,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
22_5_1,2.0,1,1,36,0,0,1,1,2.0,1.0,2.0,13.0,2.0
22_6_1,4.0,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
22_7_1,4.0,2,1,53,0,0,2,1,2.0,1.0,2.0,13.0,2.0
22_8_1,1.0,1,1,49,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_1_1,3.0,1,1,75,0,0,1,1,1.0,1.0,2.0,13.0,2.0
23_3_1,3.0,1,1,62,0,1,1,1,2.0,1.0,2.0,13.0,2.0
23_4_1,1.0,1,1,46,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_5_1,4.0,1,1,41,0,0,1,2,-1.0,-1.0,-1.0,-1.0,-1.0
23_6_1,2.0,2,1,80,0,0,2,1,0.0,1.0,2.0,13.0,2.0
23_7_1,3.0,1,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_8_1,2.0,1,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_9_1,4.0,1,1,63,0,0,1,1,2.0,1.0,2.0,13.0,2.0
24_1_1,6.0,1,1,51,0,0,1,1,3.0,1.0,2.0,13.0,2.0
24_2_2,4.0,2,2,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
24_3_1,2.0,1,1,54,0,0,2,1,2.0,1.0,2.0,13.0,2.0
24_4_1,4.0,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
24_5_1,4.0,1,1,82,0,0,1,1,1.0,1.0,2.0,13.0,2.0
24_8_1,3.0,2,1,75,0,0,2,1,2.0,1.0,2.0,13.0,2.0
25_1_2,5.0,2,2,35,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_2_1,4.0,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_3_1,4.0,1,1,39,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_4_3,4.0,1,4,20,0,1,1,1,3.0,2.0,1.0,-1.0,-1.0
25_5_1,1.0,1,1,29,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_8_1,7.0,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_9_1,6.0,1,1,47,9,0,1,1,2.0,1.0,2.0,13.0,2.0
26_4_1,4.0,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
26_5_1,5.0,1,1,48,0,0,2,1,2.0,1.0,2.0,13.0,2.0
26_6_1,6.0,1,1,54,5,0,1,1,2.0,1.0,2.0,13.0,2.0
26_8_1,5.0,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_1_1,3.0,1,1,39,0,1,1,1,2.0,1.0,2.0,13.0,2.0
27_2_1,3.0,1,1,53,0,1,1,1,2.0,1.0,2.0,13.0,2.0
27_3_1,3.0,1,1,81,0,0,2,1,0.0,1.0,2.0,13.0,2.0
27_4_1,6.0,1,1,28,0,0,1,1,9.0,1.0,2.0,13.0,2.0
27_5_1,5.0,1,1,40,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_6_1,3.0,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_7_1,2.0,1,1,37,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_8_1,2.0,1,1,39,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_1_1,4.0,1,1,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_2_1,4.0,1,1,53,0,1,1,1,2.0,1.0,2.0,13.0,2.0
28_3_1,6.0,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_4_1,2.0,1,1,60,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_5_1,4.0,1,1,70,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_6_1,3.0,1,1,61,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_7_1,4.0,1,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
29_3_1,4.0,1,1,71,0,0,1,1,1.0,1.0,2.0,13.0,2.0
29_4_1,3.0,2,1,69,0,0,2,1,1.0,1.0,2.0,13.0,2.0
29_5_1,3.0,1,1,63,0,0,2,1,1.0,1.0,2.0,13.0,2.0
29_6_1,2.0,1,1,37,0,0,1,1,2.0,1.0,2.0,13.0,2.0
29_7_1,3.0,1,1,77,0,0,2,1,1.0,1.0,2.0,13.0,2.0
29_8_1,2.0,2,1,76,0,0,3,1,1.0,1.0,2.0,13.0,2.0
30_2_1,2.0,1,1,39,4,0,1,1,2.0,1.0,2.0,13.0,2.0
30_3_1,8.0,1,1,46,4,0,1,1,2.0,1.0,2.0,13.0,2.0
30_5_1,6.0,1,1,44,0,2,1,1,2.0,1.0,2.0,13.0,2.0
30_6_1,3.0,1,1,43,2,0,1,1,2.0,1.0,2.0,13.0,2.0
30_7_1,4.0,1,1,91,0,0,3,2,-1.0,-1.0,-1.0,-1.0,-1.0
30_8_1,4.0,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
31_1_1,5.0,1,1,76,0,0,2,1,1.0,1.0,2.0,13.0,2.0
31_4_1,3.0,2,1,72,0,0,2,1,1.0,0.0,2.0,13.0,2.0
31_5_1,4.0,1,1,70,0,0,2,1,2.0,0.0,2.0,13.0,2.0
31_6_1,4.0,2,1,47,0,0,1,1,2.0,1.0,2.0,13.0,2.0
31_7_1,5.0,1,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
31_8_1,5.0,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
32_2_1,5.0,1,1,43,0,1,1,1,2.0,0.0,2.0,13.0,2.0
32_4_1,5.0,1,1,57,0,0,2,1,2.0,0.0,2.0,13.0,2.0
32_5_1,3.0,2,1,36,0,0,1,1,2.0,0.0,2.0,13.0,2.0
32_6_1,5.0,1,1,45,0,0,1,1,2.0,0.0,2.0,13.0,2.0
32_8_1,5.0,1,1,62,0,1,1,1,2.0,0.0,2.0,13.0,2.0
33_1_1,5.0,1,1,37,0,0,1,1,2.0,0.0,2.0,13.0,2.0
33_2_1,5.0,1,1,32,0,0,1,1,2.0,0.0,2.0,13.0,2.0
33_3_1,3.0,1,1,51,1,0,1,1,3.0,0.0,2.0,13.0,2.0
33_4_1,3.0,2,1,42,0,0,1,1,3.0,1.0,2.0,2.0,2.0
33_7_1,6.0,1,1,42,0,0,1,1,3.0,0.0,2.0,13.0,2.0
33_9_1,2.0,1,1,36,0,2,1,1,2.0,0.0,2.0,13.0,2.0
34_1_1,3.0,1,1,64,0,0,2,1,2.0,0.0,2.0,14.0,2.0
34_2_2,5.0,2,2,48,0,0,1,1,3.0,0.0,2.0,2.0,2.0
34_3_1,2.0,2,1,59,0,0,2,1,2.0,0.0,2.0,13.0,2.0
34_4_1,3.0,1,1,58,0,0,2,1,2.0,0.0,2.0,2.0,2.0
34_5_1,3.0,1,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
34_6_1,2.0,1,1,38,0,0,1,1,2.0,2.0,2.0,2.0,2.0
34_7_1,4.0,1,1,48,0,0,1,1,9.0,0.0,2.0,13.0,2.0
34_8_1,3.0,2,1,56,0,0,1,1,2.0,0.0,2.0,13.0,2.0
35_1_1,6.0,1,1,43,0,0,1,1,2.0,0.0,2.0,13.0,2.0
35_2_1,5.0,1,1,56,0,0,1,1,1.0,0.0,2.0,13.0,2.0
35_3_1,6.0,1,1,49,0,0,1,1,2.0,0.0,2.0,13.0,2.0
35_4_1,5.0,1,1,42,4,0,1,1,2.0,0.0,2.0,13.0,2.0
35_5_1,4.0,1,1,72,0,0,1,1,3.0,0.0,2.0,13.0,2.0
35_6_1,5.0,1,1,63,0,0,2,1,1.0,0.0,2.0,13.0,2.0
35_7_1,5.0,1,1,43,0,0,1,1,3.0,0.0,2.0,13.0,2.0
35_8_1,5.0,1,1,68,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_2_1,3.0,1,1,57,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_3_1,4.0,1,1,49,0,0,1,1,3.0,0.0,2.0,13.0,2.0
36_4_1,4.0,1,1,59,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_5_1,4.0,1,1,65,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_7_1,3.0,2,1,61,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_8_1,5.0,1,1,51,0,1,1,1,3.0,0.0,2.0,13.0,2.0
37_1_1,1.0,1,1,60,0,0,2,1,2.0,1.0,2.0,13.0,2.0
37_2_1,2.0,1,1,76,1,0,2,1,2.0,1.0,2.0,13.0,2.0
37_3_1,5.0,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
37_4_1,3.0,1,1,40,0,0,1,1,2.0,1.0,2.0,13.0,2.0
37_5_1,5.0,1,1,48,1,0,1,1,2.0,1.0,2.0,13.0,2.0
37_6_1,2.0,1,1,49,0,0,1,1,2.0,1.0,2.0,13.0,2.0
37_7_1,6.0,1,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
37_9_1,2.0,1,1,71,0,0,3,2,-1.0,-1.0,-1.0,-1.0,-1.0
38_1_1,1.0,1,1,73,0,0,2,1,1.0,1.0,2.0,13.0,2.0
38_2_1,3.0,1,1,75,0,0,2,1,1.0,1.0,2.0,13.0,2.0
38_4_1,4.0,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
38_5_1,3.0,1,1,48,0,2,1,1,2.0,1.0,2.0,13.0,2.0
38_6_1,3.0,1,1,58,0,0,2,1,2.0,1.0,2.0,13.0,2.0
38_9_1,2.0,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
39_1_1,4.0,1,1,47,0,1,1,1,2.0,1.0,2.0,13.0,2.0
39_2_1,2.0,1,1,61,1,0,1,1,2.0,1.0,2.0,13.0,2.0
39_3_1,3.0,1,1,68,0,0,1,1,2.0,1.0,2.0,13.0,2.0
39_4_1,1.0,2,1,86,0,0,2,1,0.0,1.0,2.0,13.0,2.0
39_5_3,3.0,1,4,27,0,2,1,1,2.0,1.0,2.0,13.0,2.0
39_6_1,3.0,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
39_7_1,4.0,1,1,73,0,0,1,1,1.0,1.0,2.0,13.0,2.0
39_8_1,1.0,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
40_1_1,2.0,1,1,60,0,0,1,1,2.0,0.0,2.0,2.0,2.0
40_2_1,5.0,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
40_3_1,3.0,2,1,69,0,0,2,1,1.0,1.0,2.0,13.0,2.0
40_4_1,4.0,1,1,54,0,0,1,1,6.0,1.0,2.0,13.0,2.0
40_5_1,6.0,1,1,61,0,0,1,1,3.0,1.0,2.0,13.0,2.0
40_6_1,5.0,1,1,30,0,1,1,1,2.0,1.0,2.0,13.0,2.0
40_7_1,4.0,2,1,64,0,0,2,1,1.0,1.0,2.0,13.0,2.0
40_8_1,2.0,1,1,52,0,0,1,1,1.0,1.0,2.0,13.0,2.0
41_3_1,3.0,2,1,81,0,0,2,1,2.0,1.0,2.0,13.0,2.0
41_4_1,4.0,1,1,59,0,0,1,1,2.0,1.0,2.0,13.0,2.0
41_5_1,4.0,1,1,65,0,0,2,1,1.0,1.0,2.0,13.0,2.0
41_6_1,4.0,1,1,70,0,0,2,1,1.0,1.0,2.0,13.0,2.0
41_7_1,3.0,1,1,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
41_8_1,5.0,1,1,45,0,0,1,1,3.0,1.0,2.0,13.0,2.0
42_1_1,3.0,1,1,65,0,0,2,2,-1.0,-1.0,-1.0,-1.0,-1.0
42_2_1,4.0,1,1,50,0,0,1,1,2.0,0.0,2.0,13.0,2.0
42_3_1,3.0,1,1,59,0,0,1,1,2.0,0.0,2.0,2.0,2.0
42_4_1,2.0,1,1,45,0,0,1,1,2.0,0.0,2.0,13.0,2.0
42_5_1,3.0,1,1,55,0,0,1,1,6.0,0.0,2.0,2.0,2.0
42_6_1,3.0,1,1,55,0,0,1,1,2.0,0.0,2.0,13.0,2.0
42_8_1,3.0,1,1,45,0,0,1,1,2.0,0.0,2.0,2.0,2.0
43_1_1,4.0,1,1,52,0,0,2,1,1.0,0.0,2.0,13.0,2.0
43_3_1,6.0,1,1,60,0,0,1,1,6.0,0.0,2.0,13.0,2.0
43_4_1,6.0,1,1,32,0,0,1,1,2.0,0.0,2.0,13.0,2.0
43_5_1,5.0,1,1,35,1,0,1,1,3.0,0.0,2.0,13.0,2.0
43_9_1,4.0,1,1,43,0,0,1,1,5.0,0.0,2.0,13.0,2.0
43_10_1,4.0,1,1,47,0,0,1,1,2.0,0.0,2.0,13.0,2.0
44_1_1,5.0,1,1,46,0,0,1,1,3.0,1.0,2.0,13.0,2.0
44_6_1,4.0,1,1,40,0,0,1,1,2.0,2.0,2.0,2.0,2.0
44_8_1,1.0,1,1,59,0,0,2,1,2.0,0.0,2.0,4.0,2.0
44_9_1,4.0,1,1,55,0,0,1,1,9.0,0.0,2.0,13.0,2.0
44_10_1,2.0,1,1,35,0,0,1,1,3.0,0.0,2.0,2.0,2.0
44_11_1,2.0,1,1,73,0,0,2,1,2.0,0.0,2.0,2.0,2.0
44_12_1,4.0,1,1,33,0,0,1,1,3.0,1.0,2.0,5.0,2.0
45_1_1,3.0,1,1,57,0,0,2,1,2.0,0.0,2.0,2.0,2.0
45_2_1,4.0,1,1,48,0,0,1,1,3.0,0.0,2.0,13.0,2.0
45_4_1,4.0,1,1,39,0,1,1,1,2.0,1.0,2.0,2.0,2.0
45_5_1,2.0,2,1,46,0,0,1,1,3.0,1.0,2.0,2.0,2.0
45_7_1,4.0,1,1,52,0,0,1,1,2.0,0.0,2.0,2.0,2.0
45_9_1,2.0,2,1,52,0,0,2,1,2.0,0.0,2.0,8.0,2.0
45_10_1,4.0,1,1,46,0,0,1,1,3.0,0.0,2.0,4.0,2.0
46_1_1,2.0,1,1,40,0,0,1,1,2.0,1.0,2.0,2.0,2.0
46_2_1,4.0,1,1,58,0,0,1,1,2.0,0.0,2.0,2.0,2.0
46_6_1,3.0,1,1,40,0,0,1,1,3.0,1.0,2.0,4.0,2.0
46_8_1,4.0,1,1,54,0,0,1,1,3.0,0.0,2.0,13.0,2.0
46_9_1,1.0,1,1,53,0,0,1,1,2.0,0.0,2.0,2.0,2.0
46_10_1,3.0,1,1,42,0,0,1,1,3.0,1.0,2.0,13.0,2.0
47_1_1,5.0,2,1,74,0,0,2,1,2.0,0.0,2.0,14.0,2.0
47_2_1,4.0,1,1,47,0,0,1,1,9.0,1.0,2.0,13.0,2.0
47_3_1,3.0,1,1,55,0,0,1,1,2.0,0.0,2.0,4.0,2.0
47_4_1,4.0,1,1,67,0,0,1,1,9.0,1.0,2.0,13.0,2.0
47_5_1,3.0,1,1,49,0,0,1,1,3.0,0.0,2.0,13.0,2.0
47_6_1,3.0,1,1,67,0,0,1,1,3.0,0.0,2.0,2.0,2.0
47_7_1,2.0,1,1,54,0,0,1,1,3.0,0.0,2.0,2.0,2.0
